review_body,is_positive_sentiment
This series is all in German subtitles and is about the tension between West Germany and East Germany during the Stasi years.  Martin is a young man recruited to be a spy who slips over to the West.  The show is filled with tension and plays like a thriller.  It has twists and turns that are completely unexpected.  The back story involves Martin's single mother and his pregnant girlfriend.  Each episode is worth every sitting!,1
"As a stand-alone movie this was pretty good.  However, if you read the book, the movie takes some liberties which I and my two sons felt were pretty unacceptable.  Thus the 3 rating.",0
A little outdated and not as engaging as i thought it would be,0
there are many films which try to capture the inner life of the young as they try to come to an understanding of the world adulthood and their place in it - this is one of the very best - like a totally internalized 400 Blows - all the pangs of want and beauty and passion and uncertainty - all the<br />transitory fleeting moments - like the ocean she loves - a wonderful film - and a wonderful performance by Moriah Bloona - a must see...,1
R.I.P Wes craven thanks for the memories thanks for the nightmares,1
"I loved seeing young Frank Sinatra and Gloria DeHaven is good too - it's worth watching for the singing. As a remake of Room Service though, it's just impossible to be as good as the Marx Brothers.",0
Well Done !,1
Too much crap in it for me.,0
Perfect movie to watch and discuss with the elderly aunt who will be coming for Thanksgiving and who always seems to agree with you.,1
It was okay,0
To slow in getting to any action. Hope it gets better soon.,0
My grand daughter loves this movie.  She watches it over and over again.,1
Depressing. Jack Bauer as psychotic. Grotesque scenes of violence. Worse than any other season,0
We're usually Brosnan fans but this was not his best performance and is on the edge of pornographic. Sorry we paid to watch...most of it. Finally had enough and turned it off.,0
"The acting is terrible. The story is bad. A waste of time, I only made it half way thru.",0
Not a thriller. Tension is built. Confusion on the behalf of the authorities in the movie was an example of too many bosses with their own agendas who were unable to focus on the morality and ethics of conducting the interview. It is a stretch of the imagination to believe that one person could control people with  such psychobabble and cult craft. (Spoiler) Revenge is served up on a platter of martyrdom.,0
I thought it couldn't possibly be as bad as people said it was. It was.,0
Definitely was a great season!,1
Made know sense,0
"This is really a poor movie all the way around. The storyline and script seemed like it was written by a grade schooler. The synopsis states '....accidentally prints out a DNA code that in the wrong hands can end the human race'. Nowhere is this stated in the movie, never mind expanded upon, you really don't know why the 'bad guys' are even after it. Bad script, bad acting, circumstances and events that just aren't believable - an example: 'hero' is driving to save daughter, stops for gas, gas station attendant - an old fat guy recognizes the hero on TV as being wanted by the police, hero goes to get in his car and leave - but the attendant has the keys and sticks tongue out at the hero. Instead of grabbing the keys, clocking the attendant, and ripping out the phone, this guy takes off running toward a destination we are led to believe is still miles away - while the gas station attendant calmly calls the police. This scene is actually worse when you watch it. Don't be drawn into the 'X-File' like cover art, that really is where any similarity ends. The 'Riff Trax' / MST3K crew could have a field day with this one.....",0
really great show,1
Dull and poorly written.,0
Awesome,1
Always awesome!,1
Some of the most frightening images and unsettling scenes I have seen in a horror film!,1
"Wow! What a great documentary. As a nurse and a mother, I encourage families to watch together. Show your children early the long term issues with alcohol and how a family can still love one another.",1
"A truly unusual story, with fine performances by Joaquim and Paltrow.",1
Boring and silly - and the language is atrocious!  Don't recommend this video at all.,0
My daughters enjoyed it,1
An Easter Classic!,1
Very good,1
I think that the main character is rather unlikable in that he has too much of a hard edge to him while the cellmate could have pulled it off<br />and that makes the entire idea unbelievable.,0
"It was okay. Just getting to look at Colin Firth is worth 2 stars.  Samuel L. Jackson's weakest role yet but maybe he was supposed to be ridiculous and I just didn't get it.  Fight/Gore sequences were too long and I LIKE those kinds of scenes.  Could have used some editing but once Coling Firth was dead, I was no longer invested in wasting time on this film.  I finished but wouldn't watch again.",0
Beautifully done piece.,1
Good SF angle,1
"This isn't a bad movie. However, the role of the main professor absolutely infuriates me. Not only is it literally illegal to force your beliefs (or non-beliefs) on someone, especially in a school setting, but it's morally wrong. We all have the right to our own thoughts, and they need not be shared or scrutinized. I'm pretty much atheist, and I still support the bible thumper in this movie for not becoming a sheep in a flock sheparded by someone who thinks they have the right to dictate everyone else's beliefs because they studied a different method of creation. In my opinion, we are ALL wrong, and will never know concretely what is right. Ok movie. Bad character/role selection. Always interesting seeing different viewpoints, though...",0
Good show really enjoyed it and the story and the end when the showed the real people involved,1
Better movie than I expected it to be.,0
I love this show and love Tom Selleck in it.,1
Lost me as a viewer.  Show is suppose to be naked survival.  This IS scripted human drama. And come on that many women in one camp; their cycles would sync and they would have periods--unless each was give medication EACH day.,0
"Season 1 and 2 were much more interesting as a commentary about human nature.  Season 3 turned into a typical King twist to aliens and evil whatever to explain the phenomenon. Should have gone with a better villain. Hive aliens taking over the world, blah blah...",0
Very little who footage. Way to long . half hour documentary could cover it .,0
"Oddball movie (in French English sub-title), but really good.",1
Very different from the book. Unnecessarily rushed in all the wrong places. Characters have little development.,0
Very disappointing movie.,0
The &#34;story&#34; is incomprehensible.  The entire movie is so badly cast that it's often laughable.  Don't pay for this.,0
Great show,1
"This is an unnecessarily slow movie. Forget the politics of what Edward Snowden did and you still have a movie that fails to keep your attention. There is a lot of subtitle reading that also detracts from any sense of immersion. If you want to know about this story, search the web and save yourself 2 hours.",0
Great movie.,1
Good story but the film quality is a little rough like many films from 30's. Bette Davis only has a supporting role but it's still nice to see her at a very young age. It did pull me in as I began to care more for the fate of the characters.,0
There wasn't any Air Jaws this year. Shark week seems to have gotten pretty gimmicky. There were a couple of good episodes but the rest were pretty uneventful.,0
It was just &#34;O.K&#34;.,0
Very funny.  A typical mid 50's comedy.,1
Not being of religious nature I really enjoy it. It made an impression on my way of thinking about the Bible.,1
"The reviews should mention the violence, an entire church murdered in graphic slow motion. The classic &#34; James Bond &#34; plot with a Columbine like massacre. Not for kids.",0
Absolutely makes sense that sleeping bags should be gender specific.... I always sleep colder than my husband and use more blankets.  And kudos to whoever decided to make a sleeping bag with more insulation at the feet!,1
"Meh, nothing super awful, nothing really great",0
Good solid story with a positive ending.  Slow moving at times and dialect often makes it hard to understand.  Worth you time to watch.,0
"Good tv, you care about the charcters and what goes on.",1
This was well done - a great combination of the story of Bette's life along with a lot of facts and statistics that were intertwined with the story. Impactful.,1
Didn't make it through the whole movie,0
great movie,0
Too raunchy to enjoy anything that might have made it worth watching.  I turned it off half way through.,0
"I did not like this at all. They spent a lot of time trying to develop the characters and inner relationship aspects, which to me became very boring after about 40 min. Actually, I was bored earlier, but kept watching just in case it got better. Turned it off before it was even over, don't care what happens to the people and I'm going to ask for my money back.",0
My kiddos loved this show and were addicted to it right away!  My 2.5 yo asks to watch it incessantly!,1
5 stars!,1
"It is a good movie, but not as good as insidious.",1
Good children's movie,1
"The movie was terrible, stopped watching after 15 minutes",0
Excellent,1
Wonderfully put together,1
Excellent movie. It's the type of movie that is fun from start to end but makes you think about your own tolerance of others. Enlightening without having to be preachy.,1
"I'd watch this again right now, just after washing it. It was very interesting, and the plot line kept you thinking. There were parts that caught you off guard, and parts that made you cringe a little. I'd recommend to a friend.",1
Loved it! It holds well to the theme. I'm hoping I won't see the student with the knife as a walker in the future! Good family line. I bought the season already.,1
Interesting!,0
"It's all build up to a lousy ending.  It's like the writers ran out of time and just put &#34;the end&#34; in a hurry<br />after writing the first 2 hours worth.  Also several illogical parts, for instance, when it's the end of the world with<br />very few people left, how do you drive up in a shiny clean car, let alone after driving hundreds of miles<br />through roads and towns that are NOT maintained, and likely unpassable in many spots?",0
