Text,Type
Skills Alignment Portal,SKILLS
Nintex,SKILLS
SharePoint,SKILLS
SharePoint REST web service,SKILLS
SharePoint APPs technology,SKILLS
asp.net MVC / Web API.,SKILLS
Avepoint Docave,SKILLS
SharePoint hosted apps,SKILLS
web services,SKILLS
WEB API's,SKILLS
ECMA scripts,SKILLS
SharePoint Client Object Model,SKILLS
SharePoint MOSS 2007,SKILLS
remote site provisioning mechanism,SKILLS
CSOM,SKILLS
asp.net mvc,SKILLS
Microsoft Fast Search,SKILLS
designing page layouts,SKILLS
SSIS solution,SKILLS
SharePoint web services,SKILLS
SSIS,SKILLS
SSRS,SKILLS
Dashboards,SKILLS
 Stored Procedures and Functions,SKILLS
Microsoft FAST,SKILLS
Microsoft InfoPath Designer,SKILLS
Microsoft SharePoint ,SKILLS
Microsoft SharePoint Designer 2010,SKILLS
Microsoft Office 2010,SKILLS
 SharePoint Designer Workflows,SKILLS
Excel,SKILLS
Close Monitoring Tool,SKILLS
Microsoft SharePoint 2010,SKILLS
Microsoft SQL Server 2008 R2,SKILLS
Microsoft Visual Studio 2010,SKILLS
Microsoft InfoPath Designer 2010,SKILLS
power pivot reports,SKILLS
Power Pivot library,SKILLS
Microsoft Designer,SKILLS
InfoPath,SKILLS
SharePoint Designer Workflows,SKILLS
Bachelor of Technology,SKILLS
Information Technology,SKILLS
 .NET ,SKILLS
MICROSOFT VISUAL STUDIO,SKILLS
VISUAL STUDIO,SKILLS
JavaScript,SKILLS
asp.net,SKILLS
MVC,SKILLS
Entity Framework,SKILLS
Azure micro services architecture,SKILLS
C#.net,SKILLS
Asp.net MVC 5,SKILLS
Entity Framework 6,SKILLS
Microsoft Office,SKILLS
Microsoft,SKILLS
Microsoft Visual Studio 2008,SKILLS
Microsoft Visual Studio 2012,SKILLS
HTML,SKILLS
CSS,SKILLS
jQuery,SKILLS
SharePoint Apps,SKILLS
KnockoutJS,SKILLS
Azure,SKILLS
MSBI SQL Server 2008,SKILLS
SQL Server 2012,SKILLS
Hacking,SKILLS
Programming,SKILLS
Tech Support Executive,SKILLS
Teleperformance for Microsoft,SKILLS
BHEL,SKILLS
CNC System&amp,SKILLS
PLC Programming.,SKILLS
" excel,",SKILLS
cisco,SKILLS
c language,SKILLS
cbs,SKILLS
Microsoft Word,SKILLS
Microsoft Power point,SKILLS
Microsoft Excel,SKILLS
PROBLEM SOLVING,SKILLS
Communication,SKILLS
Leadership,SKILLS
Software Developer,SKILLS
ION Trading,SKILLS
Repurchase Agreements(REPO) Trading Solution,SKILLS
Anvil 9 Trading Solution,SKILLS
Order Management System,SKILLS
Apache CoreNLP,SKILLS
Named Entity Recognition,SKILLS
Microsoft ,SKILLS
Microsoft Service,SKILLS
Windows 10,SKILLS
CSE,SKILLS
GGSIPU,SKILLS
OOPs,SKILLS
Guice,SKILLS
Microservice architecture,SKILLS
Software Development,SKILLS
XAML,SKILLS
ATDD,SKILLS
SOLID,SKILLS
SOA,SKILLS
Scrum,SKILLS
Robot Framework,SKILLS
TDD,SKILLS
WPF,SKILLS
CoreNLP,SKILLS
NLP,SKILLS
managing,SKILLS
 event managing ,SKILLS
emcee ,SKILLS
Soft skill,SKILLS
Operation Analyst,SKILLS
 Application Support ,SKILLS
Technical Support,SKILLS
Outlook,SKILLS
PowerPoint,SKILLS
maintaining,SKILLS
assisting,SKILLS
 Microsoft Server Management,SKILLS
Incident management,SKILLS
change management,SKILLS
EXCHANGE,SKILLS
KITCHEN,SKILLS
VMWARE,SKILLS
Photography,SKILLS
video editing,SKILLS
communication ,SKILLS
Public Speaking,SKILLS
Windows Server,SKILLS
Exchange server,SKILLS
Accenture,SKILLS
Invoice,SKILLS
posting,SKILLS
TRAINING,SKILLS
Invoice processing,SKILLS
Team handling,SKILLS
new joiners training,SKILLS
sap postin,SKILLS
Voice and Accent,SKILLS
Query management,SKILLS
outbound sales,SKILLS
 Query Management,SKILLS
Outbound/Inbound Calling,SKILLS
Collections,SKILLS
Customs Documentation ,SKILLS
voice and accent ,SKILLS
App develop,SKILLS
"VSSUT,burla",SKILLS
Software Testing,SKILLS
ENGINEER ,SKILLS
TESTING ,SKILLS
UI ,SKILLS
USER INTERFACE,SKILLS
ANALOG ,SKILLS
LG soft India,SKILLS
technical leadership,SKILLS
design technical architecture,SKILLS
MSIT,SKILLS
PaaS,SKILLS
Microsoft Azure,SKILLS
PowerShell,SKILLS
 App Insights,SKILLS
Azure Data Factory,SKILLS
Redis Cache,SKILLS
API Management Gateway,SKILLS
Azure App Services,SKILLS
Akamai,SKILLS
Azure CDNs,SKILLS
Azure Traffic Manager,SKILLS
Automated Unit Testing,SKILLS
Web Testing,SKILLS
Coded Unit Tests,SKILLS
Performance Testing,SKILLS
SpecFlow,SKILLS
JMeter,SKILLS
NUNit,SKILLS
MoQ,SKILLS
Fluent Assertions,SKILLS
VSTS,SKILLS
Microsoft Test Manager,SKILLS
Azure ,SKILLS
Asp.Net ,SKILLS
Web API,SKILLS
Sql ,SKILLS
Technical Architect,SKILLS
Automation Testing,SKILLS
Microsoft Azure Platform,SKILLS
 Microsoft .NET Platform,SKILLS
Microsoft GPS,SKILLS
IBM RESEARCH,SKILLS
"GVI,",SKILLS
AV,SKILLS
WBS,SKILLS
RESO,SKILLS
Security,SKILLS
IS,SKILLS
ITS,SKILLS
STP/Customs/Logistics,SKILLS
BCP team,SKILLS
line management,SKILLS
Business controls,SKILLS
ERO,SKILLS
BCP,SKILLS
Front Office Executive,SKILLS
Microsoft iGTSC,SKILLS
handwriting,SKILLS
solo singing,SKILLS
Cricketer,SKILLS
B.COM,SKILLS
Ability to work with team.,SKILLS
 Good communication skills,SKILLS
Good inter-personal skills,SKILLS
Hard &amp; Smart Working,SKILLS
Building good relationship with people.,SKILLS
Ability to work under tough situation,SKILLS
Self-Motivator.,SKILLS
Quick learner,SKILLS
"Microsoft,Infosis,",SKILLS
Google,SKILLS
"Microsoft,Infosis, Google",SKILLS
Automation,SKILLS
Mobile Testing,SKILLS
SDET,SKILLS
Scrum Master,SKILLS
Certified ScrumMaster (CSM),SKILLS
MSDN,SKILLS
Senior Associate Consultant,SKILLS
mapping,SKILLS
planning,SKILLS
utilization,SKILLS
Leading,SKILLS
coordinating ,SKILLS
business analysts,SKILLS
developers ,SKILLS
testers,SKILLS
Senior System Engineer,SKILLS
system testing,SKILLS
web portal,SKILLS
Dashboard,SKILLS
Billing,SKILLS
Shop,SKILLS
Payments,SKILLS
Login ,SKILLS
system engineers,SKILLS
Dot Net,SKILLS
Infosys,SKILLS
STAR Certification,SKILLS
Sales support,SKILLS
Test Planning,SKILLS
Bid management,SKILLS
Test execution,SKILLS
security officer,SKILLS
secure,SKILLS
Telugu,SKILLS
Hindi,SKILLS
English,SKILLS
cricket valiball,SKILLS
computer,SKILLS
firesafety,SKILLS
Sap Sd,SKILLS
Analyst Programmer,SKILLS
JavaTally,SKILLS
Microsoft - 2013 to 2015 office,SKILLS
simple living,SKILLS
high thinking,SKILLS
independent,SKILLS
T-SQL,SKILLS
ETL,SKILLS
Sales,SKILLS
Nokia,SKILLS
mobile ,SKILLS
Promoter,SKILLS
load runner,SKILLS
Selenium Webdriver,SKILLS
Xamarin.UITest,SKILLS
Protractor,SKILLS
Speflow,SKILLS
HP Load Runner (True Client protocol),SKILLS
Test Scripts,SKILLS
Test Case Design,SKILLS
Test Summary,SKILLS
HP Quality center,SKILLS
Hvac tech,SKILLS
Teleperformance,SKILLS
Technical Support Executive,SKILLS
Teleperformance ,SKILLS
Windwos XP,SKILLS
Vista/7/8/8.1/10,SKILLS
B2X Process,SKILLS
Nokia and Microsoft ,SKILLS
Resolving problems related to Microsoft account,SKILLS
(WAC) in inter Air Force School football championship,SKILLS
PL,SKILLS
FLEXML,SKILLS
 java,SKILLS
hard work,SKILLS
smart ,SKILLS
PL-SQL,SKILLS
PERL ,SKILLS
SCRIPTING ,SKILLS
SHELL,SKILLS
"Basic Perl (UNIX, Linux)",SKILLS
VB 6.0,SKILLS
Access,SKILLS
DB2,SKILLS
Unix shell scripting,SKILLS
QTP,SKILLS
WIN RUNNER,SKILLS
Test Director,SKILLS
Technical Skill,SKILLS
Datawarehouse ,SKILLS
Business Intelligence,SKILLS
Agile Methodologies,SKILLS
Program Management,SKILLS
Agile ,SKILLS
Product Roadmap,SKILLS
Stakeholder Management,SKILLS
Risk Management,SKILLS
ACTIVE DIRECTORY,SKILLS
EXCEL ,SKILLS
EXCHANGE ,SKILLS
OPERATIONS ,SKILLS
ITIL,SKILLS
Problem Management,SKILLS
Event Management,SKILLS
Configuration Management System,SKILLS
People Management,SKILLS
 Shift Rostering,SKILLS
IT Operations management,SKILLS
Resource management,SKILLS
Microsoft Hyper-V,SKILLS
Active Directory 2008,SKILLS
Exchange server 2007,SKILLS
VMware ESX 4 .1,SKILLS
 Lync 2010 server,SKILLS
SAP SRM,SKILLS
ServiceNow,SKILLS
Microsoft ICM,SKILLS
Send Word Now,SKILLS
SCOM,SKILLS
SolarWinds,SKILLS
MS Clarity Connect,SKILLS
MS Centergy,SKILLS
BMC Remedy ticketing tool,SKILLS
Bomgar ticketing tool,SKILLS
Skype For Business,SKILLS
Microsoft OneNote,SKILLS
Microsoft StaffHub,SKILLS
MS Excel,SKILLS
Developer Support Engineer,SKILLS
Microsoft Virtual Academy,SKILLS
Data Structure,SKILLS
Organizer,SKILLS
volunteer,SKILLS
Effective leadership,SKILLS
Student leader,SKILLS
Typewriting,SKILLS
Editing,SKILLS
ms office,SKILLS
internet,SKILLS
Data Entry Operator,SKILLS
project lifecycle,SKILLS
project manager,SKILLS
technical assistance,SKILLS
Excellent analytical,SKILLS
knowledge transfer and interpersonal skills,SKILLS
IT SUPPORT,SKILLS
Technical support engineer,SKILLS
Represent,SKILLS
communicate,SKILLS
Microsoft software,SKILLS
manage relationships,SKILLS
Manage,SKILLS
Solve highly complex problems,SKILLS
trace analysis,SKILLS
Lead,SKILLS
develop customer solutions,SKILLS
technical lead,SKILLS
mentor,SKILLS
model,SKILLS
review solutions,SKILLS
mentoring,SKILLS
Write,SKILLS
Consult,SKILLS
collaborate,SKILLS
Exchange Server Knowledge,SKILLS
Exchange Server 2010,SKILLS
Exchange Server 2013,SKILLS
O365,SKILLS
MAWA,SKILLS
AWA,SKILLS
memory-bounded A,SKILLS
INOX 2K12,SKILLS
4G Technologies,SKILLS
Cloud Computing,SKILLS
Heuristic Algorithms,SKILLS
Applications,SKILLS
Artificial Intellegence,SKILLS
6th Sense,SKILLS
Robotics,SKILLS
OCA,SKILLS
SPARK,SKILLS
Infosys Mysore,SKILLS
 System Hardware Training,SKILLS
Computer Science,SKILLS
Engineering,SKILLS
BTEC HNC,SKILLS
Aviation,SKILLS
Hospitality,SKILLS
Travel Management,SKILLS
Excellent communication,SKILLS
interpersonal skills,SKILLS
Computer Applications,SKILLS
Microsoft Office Windows,SKILLS
Windows 2007,SKILLS
XP,SKILLS
8,SKILLS
8.1,SKILLS
Fedora,SKILLS
analytical and problem solving,SKILLS
CSS ,SKILLS
DHCP ,SKILLS
HSRP,SKILLS
routing protocols,SKILLS
Voip ,SKILLS
 Have knowledge of configuration of routers,SKILLS
switches,SKILLS
Knowledge of cucm including Call Search Space (CSS),SKILLS
Partitions ,SKILLS
device registration,SKILLS
Knowledge of VLAN,SKILLS
port-securities,SKILLS
STP,SKILLS
ACL ,SKILLS
protocols including HSRP,SKILLS
Knowledge of Subnetting,SKILLS
VLAN Tagging,SKILLS
DHCP,SKILLS
teachers,SKILLS
Android,SKILLS
 SSIS,SKILLS
Power BI desktop,SKILLS
SSIS Database,SKILLS
SQL SERVER 2014 Visualization,SKILLS
Power BI,SKILLS
BI,SKILLS
EXTRACT,SKILLS
TRANSFORM,SKILLS
LOAD,SKILLS
Microsoft SSIS,SKILLS
MS SQL SERVER 2016,SKILLS
PL/SQL,SKILLS
Analytical and documentation,SKILLS
 team worker,SKILLS
Typing,SKILLS
B-tech,SKILLS
IIT,SKILLS
Process Optimization,SKILLS
Strategic Management,SKILLS
Profit Centre Management,SKILLS
Customer care strategies,SKILLS
Lean Management,SKILLS
Sales Overheads,SKILLS
Effective Management of Marketing strategies,SKILLS
Manufacturing plant enablement's.,SKILLS
Good knowledge in Accounting Standards,SKILLS
DHTML,SKILLS
XML,SKILLS
Visual Basic,SKILLS
COBOL,SKILLS
DBMS,SKILLS
Windows-xp,SKILLS
Windows -Vista &amp,SKILLS
Windows-7,SKILLS
MS-Office &amp,SKILLS
tally ,SKILLS
Self- Development,SKILLS
Problem Solving Skills,SKILLS
Team Work,SKILLS
Punctual ,SKILLS
self-motivated,SKILLS
diligent team player,SKILLS
.NET,SKILLS
ASP ,SKILLS
 C# ,SKILLS
databases,SKILLS
 .NET,SKILLS
CPP,SKILLS
MS visual Studio v2013,SKILLS
MS SQL Server v2008,SKILLS
Windows 10 / 8.1/ 7,SKILLS
MS-SQL,SKILLS
Bengali,SKILLS
B.Tech,SKILLS
Microsoft Office Power Point,SKILLS
Microsoft Office Word,SKILLS
Management skills,SKILLS
Responsible,SKILLS
Angular JS,SKILLS
Polymer 1.0,SKILLS
Tensorflow,SKILLS
Deep Learning,SKILLS
Word2vec,SKILLS
Artificial Intelligence,SKILLS
Jupiter Notebook,SKILLS
Django,SKILLS
Web2py,SKILLS
Flask,SKILLS
JPA,SKILLS
Google App Engine platform,SKILLS
Google Apps Integration.,SKILLS
MongoDB,SKILLS
Google Big Table(NoSQL database),SKILLS
MySQL 5.0,SKILLS
Sqlite,SKILLS
Postgresql,SKILLS
Google Cloud SQL,SKILLS
Redis,SKILLS
Linux(ubuntu),SKILLS
Window,SKILLS
Google Apps,SKILLS
Webex database,SKILLS
Zoho,SKILLS
MS-Office,SKILLS
Google Apps migration from lotus notes,SKILLS
Working with active directory syncing with the Google apps,SKILLS
Elastic Search,SKILLS
Spring MVC,SKILLS
Gantter product,SKILLS
MICROSOFT WORD 2010,SKILLS
WORD ,SKILLS
Teaching,SKILLS
Data Entry,SKILLS
database update,SKILLS
Good listener,SKILLS
take up responsibilities,SKILLS
taking challenges,SKILLS
soccer,SKILLS
cricket,SKILLS
kabbadi,SKILLS
cycling,SKILLS
running,SKILLS
swimming,SKILLS
kannada,SKILLS
tail,SKILLS
HTML ,SKILLS
JAVASCRIPT ,SKILLS
WPF ,SKILLS
Design Patterns,SKILLS
WCF,SKILLS
Biztalk Server 2013,SKILLS
Cloud Azure,SKILLS
Version Control Git,SKILLS
SVN,SKILLS
IBM Rational Clear Case,SKILLS
Scripting PowerShell,SKILLS
Unit Test MOQ,SKILLS
VS Test,SKILLS
Microsoft Fakes,SKILLS
N-Unit,SKILLS
HR ,SKILLS
COMPENSATION ,SKILLS
RECRUITMENT ,SKILLS
DETAIL ORIENTED,SKILLS
DOCUMENTATION ,SKILLS
MIS,SKILLS
Audit,SKILLS
Windows 7,SKILLS
Exce,SKILLS
Word,SKILLS
 internal Audit,SKILLS
documentation,SKILLS
template creation,SKILLS
Reimbursement Management System,SKILLS
Windows 8.1,SKILLS
10,SKILLS
MS Exce,SKILLS
Google Sheets,SKILLS
MS word,SKILLS
MS outlook,SKILLS
SQL Database,SKILLS
invoices,SKILLS
Processing of vendor bills,SKILLS
coordinating for reimbursement,SKILLS
Ola Prime,SKILLS
MS Excel (Macros,SKILLS
Windows XP,SKILLS
CRM,SKILLS
ISU,SKILLS
CIS,SKILLS
QC checklist,SKILLS
SAP reporting,SKILLS
Testing application,SKILLS
Enterprise Application Development,SKILLS
Web Application Development,SKILLS
ASP,SKILLS
MS ASP,SKILLS
Manual Testing Techniques,SKILLS
Web Application testing,SKILLS
Software Testing Life Cycle,SKILLS
Verification,SKILLS
Validation,SKILLS
Frameworks 3.5,SKILLS
Frameworks,SKILLS
SQL Server 2008,SKILLS
SQL Server 2010,SKILLS
MS-Access 2008,SKILLS
Windows […] 10),SKILLS
Clarify,SKILLS
SRMS Remedy V6,SKILLS
Remedy V7.4,SKILLS
Remedy 7.5,SKILLS
MORI,SKILLS
GCD,SKILLS
LOCM,SKILLS
GTOMS,SKILLS
Webex,SKILLS
Smartsheet,SKILLS
Adaptability,SKILLS
customer relation management,SKILLS
Client Services,SKILLS
Loophole Ethical Hacking,SKILLS
Hard working,SKILLS
Leadership ,SKILLS
strong motivation,SKILLS
.Net ,SKILLS
.Net 4.5,SKILLS
Amazon Elastic Block Storage,SKILLS
Amazon Elastic Compute Cloud ,SKILLS
MS.Net Tech.,SKILLS
VB.Net,SKILLS
EF,SKILLS
SQLServer,SKILLS
VS2012,SKILLS
Oracle 11g,SKILLS
DevOps process &amp,SKILLS
implementation,SKILLS
Agile planning,SKILLS
Bitbucket,SKILLS
Crucible,SKILLS
Confluence,SKILLS
Crowd ,SKILLS
Open Source Tools,SKILLS
Jenkins,SKILLS
GitHub,SKILLS
Maven,SKILLS
SonarQub,SKILLS
MS TFS2013 with InRelease,SKILLS
XLRelease,SKILLS
XLDeploy,SKILLS
AWS services,SKILLS
EC2,SKILLS
ELB,SKILLS
IAM,SKILLS
S3,SKILLS
EFS,SKILLS
EBS,SKILLS
CI-CD services,SKILLS
Code Commit,SKILLS
Build,SKILLS
Code Deploy,SKILLS
OpsWorks,SKILLS
Ansible playbooks,SKILLS
VB,SKILLS
Config Tools,SKILLS
Subversion,SKILLS
NANT,SKILLS
FxCop,SKILLS
CCNet,SKILLS
Design Tools,SKILLS
BorelandToGether2007,SKILLS
Visio2010,SKILLS
Microsoft Office Project 2010,SKILLS
Domain Skill Telecom,SKILLS
BSS,SKILLS
OSS,SKILLS
Content Management,SKILLS
Healthcare,SKILLS
Finance ,SKILLS
Banking,SKILLS
Financial Analyst,SKILLS
Hard worker,SKILLS
Good commitment,SKILLS
Oracle ,SKILLS
Auditing,SKILLS
Catalogues ,SKILLS
Payment validation,SKILLS
Fall back audits,SKILLS
Handing queries,SKILLS
Handing payment queries,SKILLS
Oracle application (Rx11),SKILLS
Cloud application,SKILLS
Tally,SKILLS
grasping power,SKILLS
Program Manager,SKILLS
Software Delivery,SKILLS
Global delivery,SKILLS
&amp,SKILLS
Regular monitoring,SKILLS
execution,SKILLS
Evaluating the performance,SKILLS
project execution,SKILLS
process management,SKILLS
Coordinating cross-project activities,SKILLS
evaluate,SKILLS
Develop,SKILLS
control,SKILLS
deadlines,SKILLS
budgets ,SKILLS
activities,SKILLS
change,SKILLS
risk ,SKILLS
Assume responsibility,SKILLS
Prepare reports,SKILLS
Managing the PMO,SKILLS
Development,SKILLS
Support Functions,SKILLS
Sr Consultant,SKILLS
Tekskills India Pvt Ltd,SKILLS
Co-coordinating,SKILLS
completion of projects,SKILLS
Interacting,SKILLS
coordinating,SKILLS
scoping ,SKILLS
designing ,SKILLS
delivered ,SKILLS
Preparing ,SKILLS
maintaining project,SKILLS
stage and exception plans,SKILLS
Managing project risks,SKILLS
development of contingency plans,SKILLS
Applying change control,SKILLS
configuration management processes,SKILLS
Maintaining an awareness,SKILLS
Identifying ,SKILLS
obtaining support,SKILLS
advice,SKILLS
management,SKILLS
control of the project,SKILLS
Preparing,SKILLS
Red Hat Inc,SKILLS
Technical Support Engineers,SKILLS
Team Leads,SKILLS
SMEs,SKILLS
Managing Global Support Delivery Operations,SKILLS
recruiting,SKILLS
career development,SKILLS
Handling customer escalations,SKILLS
ensuring positive customer engagement,SKILLS
achieve the goals,SKILLS
oversee,SKILLS
day-to-day management,SKILLS
Manage customer escalations,SKILLS
professional and personal development,SKILLS
Implement strategic change,SKILLS
knowledge management,SKILLS
customer-centric support,SKILLS
Coordinate improvement programs,SKILLS
Team Lead,SKILLS
Global Support Delivery,SKILLS
Red Hat Inc.,SKILLS
Planning and executing,SKILLS
Prepare,SKILLS
Coaching,SKILLS
Software Engineer,SKILLS
Remote administration,SKILLS
Web-hosting servers,SKILLS
IT infrastructure,SKILLS
cPanel ,SKILLS
Plesk,SKILLS
Linux Systems,SKILLS
Network Consultant,SKILLS
L OGIC SOLUTIONS PVT LTD,SKILLS
configure ,SKILLS
maintain,SKILLS
PROJECT MANAGEMENT,SKILLS
Stake Holder Management,SKILLS
Vendor Management,SKILLS
Project Planning,SKILLS
Scheduling,SKILLS
Risk Analysis,SKILLS
Cross-functional supervision,SKILLS
Team building,SKILLS
Escalation Handling,SKILLS
Quality Assurance,SKILLS
ALGORYTHM,SKILLS
ALGORYTHM ,SKILLS
CATECHISM ,SKILLS
administration of Business Objects,SKILLS
decision-making,SKILLS
analytical,SKILLS
team player,SKILLS
 communication,SKILLS
versatile,SKILLS
Cross Cultural Sensitivity,SKILLS
Written Communication,SKILLS
Articulation,SKILLS
 Effective Meetings,SKILLS
Gameplay,SKILLS
DSAT reviews,SKILLS
Quality,SKILLS
FTR ,SKILLS
Tickets handling.,SKILLS
AMADEUS ,SKILLS
CLIENT MANAGEMENT,SKILLS
MS Access,SKILLS
Power Point,SKILLS
Storekeeping ,SKILLS
Inventory Management,SKILLS
Purchase ,SKILLS
People & Time Management,SKILLS
SCHEDULING ,SKILLS
SOLUTIONS ,SKILLS
VB script,SKILLS
COM/DCOM,SKILLS
Toad,SKILLS
PL/SQL Developer,SKILLS
Crystal Report,SKILLS
GSD,SKILLS
RTC,SKILLS
VSS,SKILLS
PVCS,SKILLS
IIS,SKILLS
Oracle HTTP Server on Windows,SKILLS
Weblogic 10.3,SKILLS
WebSphere,SKILLS
Apache Tomcat,SKILLS
MTS,SKILLS
Control-M,SKILLS
Cron0Jobs,SKILLS
Windows Schedulers,SKILLS
Pro &amp,SKILLS
Server/XP Home &amp,SKILLS
Professional/2003 Server/,SKILLS
Vista/7 Pro &amp,SKILLS
Enterprise/8/10,SKILLS
MS-DOS,SKILLS
UNIX,SKILLS
"Microsoft Office: (Word, Excel, Access, Outlook and PowerPoint)",SKILLS
 Internet Explorer,SKILLS
Netscape,SKILLS
Lotus Notes,SKILLS
Adobe Flash,SKILLS
Photoshop,SKILLS
CITRIX Metaframe 1.8/XP,SKILLS
Excellent business skills,SKILLS
presentation,SKILLS
interpersonal,SKILLS
report writing skills,SKILLS
Team Mentoring,SKILLS
drive demos,SKILLS
status calls,SKILLS
issues &amp,SKILLS
